Customer_ID,Name,First_order,Total_orders,Total_revenue,Average_order_value,Time_to_2nd_purchase,Last_purchase,City , tier,Acquisition_channel,RePurchased
CUST-0000049,Anamika Gopal,11/26/2023,2,4856,2428,747,12/13/2025,Indore , Tier 2,Meta,Y
CUST-0000051,Shivansh Bhasin,8/27/2025,1,3400,3400,,8/27/2025,Mumbai , Tier 1,Email/SMS,N
CUST-0000052,Yahvi Varughese,8/18/2023,2,5278,2639,224,3/30/2024,Lucknow , Tier 2,Offline (Friends/Family),Y
CUST-0000053,Neha Korpal,11/23/2024,1,2694,2694,,11/23/2024,Pune , Tier 1,Organic Instagram,N
CUST-0000056,Zayyan Wason,9/19/2024,1,2870,2870,,9/19/2024,Mumbai , Tier 1,Meta,N
CUST-0000058,Imaran Sastry,3/5/2025,1,3215,3215,,3/5/2025,Kochi , Tier 2,Google,N
CUST-0000059,Jairaj Garde,8/26/2023,3,8672,2890.67,531,4/8/2025,Kanpur , Tier 2,Influencer,Y
CUST-0000060,Chakradhar Raja,3/11/2023,1,1640,1640,,3/11/2023,Bengaluru , Tier 1,Google,N
CUST-0000061,Ekalinga Sood,9/23/2024,1,3229,3229,,9/23/2024,Coimbatore , Tier 2,Google,N
CUST-0000062,Chaaya Upadhyay,11/30/2023,1,2014,2014,,11/30/2023,Mumbai , Tier 1,Instagram DM,N
CUST-0000063,Mahika Dewan,11/16/2023,1,2052,2052,,11/16/2023,Rajkot , Tier 2,Offline (Friends/Family),N
CUST-0000065,Ekaja Brahmbhatt,8/10/2023,2,5519,2759.5,511,1/2/2025,Kochi , Tier 2,Meta,Y
CUST-0000066,Zinal Menon,12/29/2023,1,2509,2509,,12/29/2023,Nagpur , Tier 2,Influencer,N
CUST-0000067,Christopher Randhawa,11/30/2022,1,1455,1455,,11/30/2022,Dehradun , Tier 2,Meta,N
CUST-0000069,Jack Dugar,4/19/2023,3,8650,2883.33,266,6/1/2025,Patna , Tier 2,Google,Y
CUST-0000071,Ekantika Thakkar,8/1/2025,1,3138,3138,,8/1/2025,Coimbatore , Tier 2,Instagram DM,N
CUST-0000073,Vihaan Nazareth,1/2/2023,1,2194,2194,,1/2/2023,Rajkot , Tier 2,Influencer,N
CUST-0000075,Advay Agate,8/2/2023,2,4889,2444.5,158,1/7/2024,Nagpur , Tier 2,Influencer,Y
CUST-0000076,Farhan Sani,6/2/2022,1,2313,2313,,6/2/2022,Hyderabad , Tier 1,Meta,N
CUST-0000077,Alexander Bhavsar,1/28/2025,1,3846,3846,,1/28/2025,Bengaluru , Tier 1,Influencer,N
CUST-0000078,Naveen Gupta,7/12/2024,2,5443,2721.5,460,10/16/2025,Hyderabad , Tier 1,Influencer,Y
CUST-0000079,Chavvi Menon,12/31/2023,4,10651,2662.75,487,10/16/2025,Bengaluru , Tier 1,Organic Instagram,Y
CUST-0000081,Chaitanya Jaggi,11/29/2025,1,2733,2733,,11/29/2025,Patna , Tier 2,Meta,N
CUST-0000082,Harsh Khare,5/12/2022,4,9818,2454.5,533,2/28/2025,Ludhiana , Tier 2,Google,Y
CUST-0000085,Bina Batta,5/20/2022,4,9414,2353.5,434,8/16/2024,Kochi , Tier 2,Influencer,Y
CUST-0000086,Xavier Sahni,10/22/2025,1,3650,3650,,10/22/2025,Hyderabad , Tier 1,Meta,N
CUST-0000087,Arin Radhakrishnan,11/4/2024,1,2560,2560,,11/4/2024,Mumbai , Tier 1,Instagram DM,N
CUST-0000089,Pranav Rai,3/26/2022,3,7044,2348,31,7/9/2025,Delhi , Tier 1,Meta,Y
CUST-0000090,Wriddhish Parmar,12/10/2025,1,3773,3773,,12/10/2025,Jaipur , Tier 2,Organic Instagram,N
CUST-0000092,Mohammed Ben,4/20/2022,2,3444,1722,5,4/26/2022,Jaipur , Tier 2,Organic Instagram,Y
CUST-0000093,Lila Khanna,9/17/2023,3,8777,2925.67,581,9/16/2025,Mumbai , Tier 1,Meta,Y
CUST-0000096,Yochana Jani,9/20/2023,2,5671,2835.5,761,10/21/2025,Delhi , Tier 1,Meta,Y
CUST-0000099,Bahadurjit Randhawa,6/26/2023,5,13908,2781.6,520,11/24/2025,Kolkata , Tier 1,Meta,Y
CUST-0000101,Qushi Bhasin,3/20/2022,1,1980,1980,,3/20/2022,Kochi , Tier 2,Influencer,N
CUST-0000102,Janaki Mahal,2/19/2024,1,2206,2206,,2/19/2024,Pune , Tier 1,Meta,N
CUST-0000104,Janani Kala,1/5/2024,1,2684,2684,,1/5/2024,Surat , Tier 2,Organic Instagram,N
CUST-0000105,Christopher Mohanty,4/20/2023,2,4544,2272,244,12/21/2023,Mysuru , Tier 2,Google,Y
CUST-0000106,Madhav Kohli,2/22/2022,2,3183,1591.5,60,4/23/2022,Indore , Tier 2,Google,Y
CUST-0000107,Neelima Prashad,2/26/2025,1,2398,2398,,2/26/2025,Lucknow , Tier 2,Meta,N
CUST-0000109,Gaurangi Dewan,9/10/2022,1,1555,1555,,9/10/2022,Jaipur , Tier 2,Influencer,N
CUST-0000110,Rachita Kuruvilla,12/21/2022,1,1888,1888,,12/21/2022,Hyderabad , Tier 1,Meta,N
CUST-0000111,Kiaan Bhagat,3/18/2022,2,4319,2159.5,871,8/5/2024,Mumbai , Tier 1,Meta,Y
CUST-0000112,Nandini Kumer,4/25/2025,1,3000,3000,,4/25/2025,Hyderabad , Tier 1,Meta,N
CUST-0000114,Patrick Mangal,1/23/2022,2,4097,2048.5,449,4/18/2023,Hyderabad , Tier 1,Meta,Y
CUST-0000115,Dalaja Kala,3/15/2024,1,2779,2779,,3/15/2024,Lucknow , Tier 2,Offline (Friends/Family),N
CUST-0000116,Urishilla Oza,12/3/2022,1,1748,1748,,12/3/2022,Bhopal , Tier 2,Instagram DM,N
CUST-0000118,Lopa Sarraf,9/1/2024,1,3172,3172,,9/1/2024,Pune , Tier 1,Influencer,N
CUST-0000120,Raghav Edwin,3/3/2023,4,11105,2776.25,345,11/8/2025,Mumbai , Tier 1,Google,Y
CUST-0000121,Tarak Nagarajan,5/10/2024,1,2524,2524,,5/10/2024,Bengaluru , Tier 1,Organic Instagram,N
CUST-0000124,Harish Narayan,11/30/2023,2,5490,2745,616,8/7/2025,Pune , Tier 1,Meta,Y
CUST-0000125,Chandresh Pandey,7/29/2025,1,2718,2718,,7/29/2025,Mysuru , Tier 2,Meta,N
CUST-0000126,Max Batta,10/9/2023,1,2209,2209,,10/9/2023,Nagpur , Tier 2,Meta,N
CUST-0000127,Reva Minhas,3/30/2024,1,3058,3058,,3/30/2024,Chennai , Tier 1,Instagram DM,N
CUST-0000128,Hemang Iyer,4/1/2023,3,8252,2750.67,861,9/5/2025,Delhi , Tier 1,Meta,Y
CUST-0000129,Nathaniel Mandal,10/19/2022,1,1570,1570,,10/19/2022,Mumbai , Tier 1,Influencer,N
CUST-0000130,Zaitra Trivedi,10/24/2023,1,2756,2756,,10/24/2023,Hyderabad , Tier 1,Email/SMS,N
CUST-0000131,Jeevika Mohanty,12/31/2022,1,1828,1828,,12/31/2022,Indore , Tier 2,Google,N
CUST-0000135,Dayamai Seth,1/15/2022,1,1873,1873,,1/15/2022,Mumbai , Tier 1,Meta,N
CUST-0000137,Dayamai Buch,8/8/2023,2,5306,2653,445,10/27/2024,Mumbai , Tier 1,Meta,Y
CUST-0000138,Zaid Bahri,3/26/2025,1,3513,3513,,3/26/2025,Gurgaon , Tier 2,Instagram DM,N
CUST-0000139,Nidra Randhawa,7/13/2023,2,4313,2156.5,242,3/12/2024,Bengaluru , Tier 1,Google,Y
CUST-0000140,Tanvi Sachdev,3/26/2023,2,5148,2574,732,3/27/2025,Noida , Tier 2,Google,Y
CUST-0000141,David Joshi,5/13/2022,2,4038,2019,776,6/28/2024,Gurgaon , Tier 2,Google,Y
CUST-0000142,Manthan Narain,5/23/2024,1,2889,2889,,5/23/2024,Patna , Tier 2,Meta,N
CUST-0000143,Sara Sahota,4/11/2024,1,2327,2327,,4/11/2024,Bengaluru , Tier 1,Meta,N
CUST-0000144,Eiravati Karnik,10/9/2025,1,3713,3713,,10/9/2025,Ahmedabad , Tier 1,Meta,N
CUST-0000145,Aarini De,4/18/2022,1,2024,2024,,4/18/2022,Mumbai , Tier 1,Email/SMS,N
CUST-0000146,Aashi Doshi,6/23/2023,3,8183,2727.67,322,1/6/2025,Jaipur , Tier 2,Meta,Y
CUST-0000147,Balendra Bains,11/14/2023,1,1898,1898,,11/14/2023,Bhubaneswar , Tier 2,Meta,N
CUST-0000148,Dhruv Mohanty,1/2/2025,2,6040,3020,229,8/20/2025,Kanpur , Tier 2,Meta,Y
CUST-0000151,Yug Ganesh,10/29/2025,1,2911,2911,,10/29/2025,Bhopal , Tier 2,Organic Instagram,N
CUST-0000152,Yatin Misra,7/5/2023,1,2331,2331,,7/5/2023,Lucknow , Tier 2,Google,N
CUST-0000153,Pooja Naik,10/2/2022,2,5217,2608.5,1123,10/29/2025,Kanpur , Tier 2,Meta,Y
CUST-0000155,Aadhya Kalla,12/1/2025,1,2750,2750,,12/1/2025,Kolkata , Tier 1,Influencer,N
CUST-0000156,Vritti Bhargava,2/9/2023,2,5221,2610.5,771,3/21/2025,Mumbai , Tier 1,Meta,Y
CUST-0000157,Ridhi Rajagopalan,5/9/2022,1,2232,2232,,5/9/2022,Bengaluru , Tier 1,Meta,N
CUST-0000158,George Sankar,12/29/2024,2,5944,2972,274,9/29/2025,Bhopal , Tier 2,Meta,Y
CUST-0000161,Maanas Bedi,1/14/2025,2,6220,3110,7,1/21/2025,Chennai , Tier 1,Influencer,Y
CUST-0000162,Samaksh Swaminathan,10/7/2025,1,3394,3394,,10/7/2025,Pune , Tier 1,Instagram DM,N
CUST-0000163,Ganga Kamdar,1/4/2023,2,4118,2059,85,3/31/2023,Kochi , Tier 2,Organic Instagram,Y
CUST-0000164,Neha Hayre,10/21/2025,1,2772,2772,,10/21/2025,Lucknow , Tier 2,Meta,N
CUST-0000166,Vamakshi Sharaf,10/26/2025,1,3242,3242,,10/26/2025,Delhi , Tier 1,Meta,N
CUST-0000170,Urvi Brar,3/4/2023,4,10534,2633.5,175,12/14/2024,Indore , Tier 2,Email/SMS,Y
CUST-0000171,Faras Ravi,8/16/2023,1,2436,2436,,8/16/2023,Nagpur , Tier 2,Influencer,N
CUST-0000172,Yoshita Chokshi,9/14/2024,1,2572,2572,,9/14/2024,Nagpur , Tier 2,Google,N
CUST-0000173,Isaiah Wason,1/12/2022,2,4459,2229.5,868,5/30/2024,Mumbai , Tier 1,Instagram DM,Y
CUST-0000174,Lipika Dada,1/24/2023,1,1787,1787,,1/24/2023,Bengaluru , Tier 1,Email/SMS,N
CUST-0000175,Meghana Deo,2/3/2022,3,7580,2526.67,693,3/19/2024,Patna , Tier 2,Google,Y
CUST-0000179,Harini Saha,11/21/2022,1,2165,2165,,11/21/2022,Dehradun , Tier 2,Meta,N
CUST-0000180,Atharv Deol,8/7/2025,1,2740,2740,,8/7/2025,Kochi , Tier 2,Google,N
CUST-0000181,Aachal D’Alia,5/4/2025,1,3098,3098,,5/4/2025,Hyderabad , Tier 1,Meta,N
CUST-0000183,Teerth Mani,2/20/2022,4,8482,2120.5,62,10/27/2024,Delhi , Tier 1,Google,Y
CUST-0000184,Upadhriti Korpal,2/20/2022,2,3709,1854.5,0,2/21/2022,Delhi , Tier 1,Meta,Y
CUST-0000185,Farhan Balakrishnan,8/11/2025,1,2870,2870,,8/11/2025,Nagpur , Tier 2,Meta,N
CUST-0000187,Balendra Mukhopadhyay,9/5/2024,2,5776,2888,140,1/24/2025,Ahmedabad , Tier 1,Influencer,Y
CUST-0000188,Pratyush Agate,10/16/2022,1,1877,1877,,10/16/2022,Indore , Tier 2,Meta,N
CUST-0000190,Isaiah Dhar,12/15/2023,1,1703,1703,,12/15/2023,Surat , Tier 2,Meta,N
CUST-0000194,Akshay Gulati,5/18/2025,1,2590,2590,,5/18/2025,Delhi , Tier 1,Influencer,N
CUST-0000197,Oeshi Som,11/17/2024,1,2837,2837,,11/17/2024,Kanpur , Tier 2,Instagram DM,N
CUST-0000198,Zansi Dada,12/16/2024,1,2435,2435,,12/16/2024,Bengaluru , Tier 1,Instagram DM,N
CUST-0000201,Yashoda Tara,4/1/2022,2,3981,1990.5,295,1/22/2023,Rajkot , Tier 2,Meta,Y
CUST-0000208,Harrison Lalla,11/22/2023,1,1639,1639,,11/22/2023,Delhi , Tier 1,Meta,N
CUST-0000209,Anthony Gopal,6/30/2023,1,1626,1626,,6/30/2023,Rajkot , Tier 2,Influencer,N
CUST-0000210,Jacob Sunder,4/24/2023,3,7672,2557.33,54,2/11/2025,Indore , Tier 2,Meta,Y
CUST-0000212,Lakshmi Mammen,9/28/2023,2,4531,2265.5,7,10/5/2023,Ahmedabad , Tier 1,Google,Y
CUST-0000215,Wriddhish Soni,3/28/2024,1,2723,2723,,3/28/2024,Hyderabad , Tier 1,Influencer,N
CUST-0000216,Janya Hayer,5/5/2024,1,3622,3622,,5/5/2024,Bengaluru , Tier 1,Google,N
CUST-0000217,Leena Palla,7/2/2022,4,9397,2349.25,55,7/12/2025,Ludhiana , Tier 2,Meta,Y
CUST-0000218,Ekalinga Bhatia,6/2/2022,1,1723,1723,,6/2/2022,Mumbai , Tier 1,Meta,N
CUST-0000222,Liam Peri,8/18/2023,2,5010,2505,843,12/9/2025,Noida , Tier 2,Instagram DM,Y
CUST-0000223,Oliver Bal,3/4/2022,3,5928,1976,241,3/28/2024,Mumbai , Tier 1,Influencer,Y
CUST-0000224,Vyanjana Sundaram,6/27/2023,3,7996,2665.33,245,11/20/2025,Visakhapatnam , Tier 2,Meta,Y
CUST-0000225,George Thakur,4/30/2022,2,3564,1782,429,7/3/2023,Jaipur , Tier 2,Influencer,Y
CUST-0000229,Garima Gandhi,3/6/2024,1,2187,2187,,3/6/2024,Pune , Tier 1,Email/SMS,N
CUST-0000230,Pallavi Bhavsar,4/6/2023,1,2035,2035,,4/6/2023,Bhubaneswar , Tier 2,Google,N
CUST-0000231,Girindra Bala,10/1/2022,3,6445,2148.33,367,4/28/2024,Mumbai , Tier 1,Offline (Friends/Family),Y
CUST-0000232,Mugdha Babu,8/21/2024,3,8063,2687.67,369,10/18/2025,Patna , Tier 2,Google,Y
CUST-0000233,Aishani Varty,6/2/2023,1,2507,2507,,6/2/2023,Mumbai , Tier 1,Meta,N
CUST-0000234,Riya Mody,10/28/2022,2,4426,2213,704,10/2/2024,Mumbai , Tier 1,Meta,Y
CUST-0000237,Damini Madan,11/20/2022,3,8752,2917.33,403,1/25/2025,Ludhiana , Tier 2,Organic Instagram,Y
CUST-0000243,Wridesh Bhargava,5/20/2025,1,3661,3661,,5/20/2025,Surat , Tier 2,Meta,N
CUST-0000244,William Bhatia,3/16/2022,1,1799,1799,,3/16/2022,Mysuru , Tier 2,Meta,N
CUST-0000248,Chakradev Nagy,8/8/2022,1,2006,2006,,8/8/2022,Delhi , Tier 1,Offline (Friends/Family),N
CUST-0000249,Samuel Mukherjee,10/11/2025,1,3172,3172,,10/11/2025,Gurgaon , Tier 2,Meta,N
CUST-0000251,Oni Wadhwa,12/14/2023,1,2628,2628,,12/14/2023,Delhi , Tier 1,Meta,N
CUST-0000252,Chandran Solanki,9/27/2023,2,4762,2381,678,8/5/2025,Indore , Tier 2,Organic Instagram,Y
CUST-0000253,Xiti Oommen,2/5/2025,1,3480,3480,,2/5/2025,Chennai , Tier 1,Meta,N
CUST-0000254,Hitesh Trivedi,11/25/2024,2,5490,2745,20,12/15/2024,Pune , Tier 1,Organic Instagram,Y
CUST-0000255,Gaurav Ganesan,7/31/2022,3,9207,3069,594,3/26/2025,Kanpur , Tier 2,Google,Y
CUST-0000256,Unnati Gopal,3/2/2024,1,3117,3117,,3/2/2024,Nashik , Tier 2,Organic Instagram,N
CUST-0000258,Panini Nagarajan,11/18/2022,3,7632,2544,728,10/17/2025,Patna , Tier 2,Google,Y
CUST-0000259,Irya Iyengar,4/17/2023,1,2519,2519,,4/17/2023,Bengaluru , Tier 1,Google,N
CUST-0000260,Aahana Varty,4/4/2023,3,10405,3468.33,621,6/24/2025,Dehradun , Tier 2,Meta,Y
CUST-0000261,Indrajit Chad,8/5/2023,2,5119,2559.5,609,4/6/2025,Ahmedabad , Tier 1,Email/SMS,Y
CUST-0000262,Amrita Saha,7/8/2023,4,11170,2792.5,472,8/19/2025,Jaipur , Tier 2,Email/SMS,Y
CUST-0000265,Mason Pall,7/22/2023,1,2098,2098,,7/22/2023,Delhi , Tier 1,Meta,N
CUST-0000266,Charvi Zacharia,2/12/2022,3,6603,2201,361,1/22/2025,Pune , Tier 1,Organic Instagram,Y
CUST-0000268,Sachi Sood,1/19/2023,2,4674,2337,385,2/8/2024,Mysuru , Tier 2,Organic Instagram,Y
CUST-0000272,Veer Pandit,12/10/2025,1,2836,2836,,12/10/2025,Nashik , Tier 2,Influencer,N
CUST-0000273,Henry Raja,1/1/2023,2,5055,2527.5,545,6/29/2024,Bengaluru , Tier 1,Influencer,Y
CUST-0000274,Nirja Gola,7/28/2024,2,6531,3265.5,472,11/12/2025,Delhi , Tier 1,Organic Instagram,Y
CUST-0000276,Yachana Rai,8/29/2022,1,1429,1429,,8/29/2022,Delhi , Tier 1,Meta,N
CUST-0000278,Siddharth Atwal,1/15/2023,2,4233,2116.5,316,11/27/2023,Vadodara , Tier 2,Meta,Y
CUST-0000279,Patrick Narasimhan,10/16/2023,2,4943,2471.5,13,10/29/2023,Kolkata , Tier 1,Offline (Friends/Family),Y
CUST-0000280,Harinakshi Nath,8/26/2025,3,9678,3226,2,11/30/2025,Pune , Tier 1,Meta,Y
CUST-0000281,Gagan Basu,8/5/2024,1,2790,2790,,8/5/2024,Mysuru , Tier 2,Meta,N
CUST-0000284,Dalaja Lata,1/19/2024,1,2387,2387,,1/19/2024,Kochi , Tier 2,Google,N
CUST-0000286,Ansh Dubey,12/21/2024,1,2439,2439,,12/21/2024,Delhi , Tier 1,Meta,N
CUST-0000287,Vasudha Bahl,8/2/2023,2,5113,2556.5,537,1/21/2025,Bengaluru , Tier 1,Meta,Y
CUST-0000288,Ethan Wable,10/19/2023,2,5227,2613.5,663,8/12/2025,Lucknow , Tier 2,Influencer,Y
CUST-0000289,Pooja Kanda,11/7/2025,1,2293,2293,,11/7/2025,Surat , Tier 2,Organic Instagram,N
CUST-0000290,Janya Bawa,12/28/2025,1,3231,3231,,12/28/2025,Delhi , Tier 1,Influencer,N
CUST-0000293,Triveni Varghese,8/21/2024,2,5220,2610,460,11/24/2025,Bhopal , Tier 2,Meta,Y
CUST-0000294,Aryan Krishnamurthy,2/17/2024,1,2063,2063,,2/17/2024,Bengaluru , Tier 1,Google,N
CUST-0000295,Darsh Gaba,12/22/2023,3,9247,3082.33,437,5/16/2025,Gurgaon , Tier 2,Influencer,Y
CUST-0000296,Raagini Bhandari,10/22/2024,2,5336,2668,203,5/13/2025,Kolkata , Tier 1,Influencer,Y
CUST-0000297,Ekani Chhabra,7/29/2023,1,2798,2798,,7/29/2023,Vadodara , Tier 2,Email/SMS,N
CUST-0000298,Vrinda Gera,10/10/2023,1,2483,2483,,10/10/2023,Vadodara , Tier 2,Meta,N
CUST-0000299,Devansh Dara,2/13/2022,1,1544,1544,,2/13/2022,Hyderabad , Tier 1,Organic Instagram,N
CUST-0000300,Benjamin Korpal,12/23/2022,2,3648,1824,273,9/22/2023,Hyderabad , Tier 1,Email/SMS,Y
CUST-0000304,Warinder Saran,12/14/2024,2,6851,3425.5,315,10/26/2025,Pune , Tier 1,Meta,Y
CUST-0000305,Anita Balasubramanian,4/15/2024,6,18057,3009.5,14,3/19/2025,Jaipur , Tier 2,Influencer,Y
CUST-0000306,Vincent Yadav,1/24/2025,1,3283,3283,,1/24/2025,Vadodara , Tier 2,Meta,N
CUST-0000307,Abeer Yohannan,8/9/2024,2,6977,3488.5,373,8/18/2025,Kolkata , Tier 1,Organic Instagram,Y
CUST-0000308,Omya Kapadia,5/26/2022,6,14924,2487.33,218,12/12/2025,Patna , Tier 2,Meta,Y
CUST-0000309,Zarna Sawhney,10/25/2025,1,3936,3936,,10/25/2025,Mumbai , Tier 1,Organic Instagram,N
CUST-0000310,Yatin Dhar,1/1/2024,1,2477,2477,,1/1/2024,Bengaluru , Tier 1,Meta,N
CUST-0000313,Triya Varkey,3/13/2025,1,3780,3780,,3/13/2025,Ahmedabad , Tier 1,Meta,N
CUST-0000315,Noah Doctor,7/6/2023,3,7402,2467.33,263,10/15/2025,Bhubaneswar , Tier 2,Offline (Friends/Family),Y
CUST-0000316,Yashvi Shanker,2/28/2025,1,2580,2580,,2/28/2025,Bengaluru , Tier 1,Google,N
CUST-0000317,Girik Kothari,10/14/2023,1,2090,2090,,10/14/2023,Noida , Tier 2,Meta,N
CUST-0000318,Vinaya Behl,10/6/2023,2,5808,2904,404,11/14/2024,Hyderabad , Tier 1,Email/SMS,Y
CUST-0000319,Dominic Sant,2/12/2022,1,1599,1599,,2/12/2022,Ranchi , Tier 2,Organic Instagram,N
CUST-0000320,Udyati Dyal,12/24/2023,2,5110,2555,199,7/10/2024,Hyderabad , Tier 1,Meta,Y
CUST-0000321,Lajita Sanghvi,12/1/2023,1,2214,2214,,12/1/2023,Lucknow , Tier 2,Meta,N
CUST-0000322,Michael Uppal,2/18/2023,1,2103,2103,,2/18/2023,Bhopal , Tier 2,Meta,N
CUST-0000324,Omaja Pingle,4/11/2022,2,4422,2211,1233,8/27/2025,Pune , Tier 1,Meta,Y
CUST-0000327,Widisha Bobal,12/7/2024,1,2470,2470,,12/7/2024,Mumbai , Tier 1,Influencer,N
CUST-0000328,Bakhshi Sharma,12/5/2024,1,2723,2723,,12/5/2024,Jaipur , Tier 2,Email/SMS,N
CUST-0000330,Farhan Gill,4/15/2024,1,2532,2532,,4/15/2024,Coimbatore , Tier 2,Google,N
CUST-0000333,Veda Dewan,12/5/2022,1,1912,1912,,12/5/2022,Delhi , Tier 1,Google,N
CUST-0000334,Nikita Pant,7/24/2024,2,6219,3109.5,72,10/4/2024,Mumbai , Tier 1,Google,Y
CUST-0000336,Ubika Mann,9/20/2024,2,5389,2694.5,56,11/15/2024,Gurgaon , Tier 2,Email/SMS,Y
CUST-0000337,Qushi Murty,9/1/2025,1,3957,3957,,9/1/2025,Delhi , Tier 1,Meta,N
CUST-0000338,Forum Sachar,1/14/2023,5,11640,2328,98,3/9/2024,Bhubaneswar , Tier 2,Meta,Y
CUST-0000340,Ladli Ram,10/29/2023,1,2189,2189,,10/29/2023,Ranchi , Tier 2,Instagram DM,N
CUST-0000341,Karan Nadig,8/17/2024,1,2485,2485,,8/17/2024,Jaipur , Tier 2,Influencer,N
CUST-0000342,Timothy Raval,10/7/2022,2,5315,2657.5,1126,11/6/2025,Rajkot , Tier 2,Meta,Y
CUST-0000344,Jagdish Mani,11/9/2023,2,4769,2384.5,68,1/16/2024,Lucknow , Tier 2,Meta,Y
CUST-0000345,Bimala Nagar,7/26/2024,1,3075,3075,,7/26/2024,Lucknow , Tier 2,Influencer,N
CUST-0000346,Ubika Yohannan,2/14/2023,2,4710,2355,189,8/22/2023,Surat , Tier 2,Influencer,Y
CUST-0000347,Oscar Saxena,1/16/2022,1,1503,1503,,1/16/2022,Bhubaneswar , Tier 2,Google,N
CUST-0000348,Bhavini Nagarajan,10/9/2024,1,2811,2811,,10/9/2024,Patna , Tier 2,Google,N
CUST-0000350,Mohammed Bava,12/24/2024,1,3127,3127,,12/24/2024,Chennai , Tier 1,Meta,N
CUST-0000352,Zansi Bal,1/30/2022,1,1515,1515,,1/30/2022,Vadodara , Tier 2,Influencer,N
CUST-0000354,Vinaya Mallick,5/31/2022,2,4010,2005,851,9/29/2024,Delhi , Tier 1,Instagram DM,Y
CUST-0000357,Vidhi Batra,1/7/2024,1,3123,3123,,1/7/2024,Mumbai , Tier 1,Meta,N
CUST-0000360,Aditya Mitter,7/8/2023,2,5746,2873,284,4/17/2024,Delhi , Tier 1,Offline (Friends/Family),Y
CUST-0000364,Xalak Narayan,4/23/2022,1,1525,1525,,4/23/2022,Bengaluru , Tier 1,Google,N
CUST-0000365,Ekani Amble,12/3/2023,1,2514,2514,,12/3/2023,Hyderabad , Tier 1,Email/SMS,N
CUST-0000366,Unnati Mistry,12/12/2024,1,2987,2987,,12/12/2024,Lucknow , Tier 2,Meta,N
CUST-0000367,Ekalinga Sen,7/25/2025,1,3003,3003,,7/25/2025,Delhi , Tier 1,Google,N
